ID,Translation
55001,5 - पोस्टमार्टम रिपोर्ट ।
55002,रक्त बाहर आना प्रारंभ हो गया था ।
55003,"अतएव, ये अपीलें हुई हैं ।"
55004,उन्हें सिद्ध किया गया है ।
55005,वसीयतकर्ता की 10. 3. 2009 को मृत्यु हो गयी थी ।
55006,प्रदर्श - D प्रस्तुत किया जाता है ।
55007,कोई कार्रवाई नहीं की गयी थी ।
55008,अतएव वर्तमान परिवाद हुआ है ।
55009,उसने अभियुक्त की शिनाख्त की थी ।
55010,कोई प्रकाश नहीं जल रहा था ।
55011,रविन्द्र सिंह को स्थानांतरित कर दिया गया था ।
55012,उनकी अपीलें खारिज की जाती हैं ।
55013,वह अपने मामले का समर्थन करता है ।
55014,जो उठायी गयी हैं ।
55015,उसने गवाहों को परीक्षित किया था ।
55016,इसके बाद वह समस्तीपुर पहुंची थी ।
55017,बागेश्वर कुंअर की नि : संतान मृत्यु हो गयी थी ।
55018,यह स्पष्टतः अननुज्ञेय है ।
55019,यह बेतुकेपन की ओर ले जाता है ।
55020,दंडादेश सुनाया गया है ।
55021,दोनों ने रिपोर्ट किया था ।
55022,9 - आवेदन खारिज ।
55023,यह दोनों नहीं हो सकता है ।
55024,अंतरिम आदेश रिक्त किया जाता है ।
55025,यह संयुक्त नहीं है ।
55026,यही वह व्यक्ति है ।
55027,उद्देश्य प्रशंसनीय था ।
55028,वी ० सुखनपुर 654
55029,वह 30. 4. 1995 को सेवानिवृत्त हुआ था ।
55030,वह 31. 3. 1999 को सेवानिवृत्त हुआ था ।
55031,उसके दो बच्चे हैं ।
55032,जो सही नहीं है ।
55033,इसका आकलन नहीं किया जा सकता है ।
55034,उक्त अधिसूचना के अधीन ।
55035,यह स्वीकारणीय नहीं है ।
55036,क्या यह न्यायसंगत होगा?
55037,हम लक्ष्मण सिंह से प्रेम करते थे ।
55038,सुरेश ने झूठमूठ फंसाया है ।
55039,जो उसे चाहता है ।
55040,अतएव विचारण आगे बढ़ा था ।
55041,अपीलार्थी को बरी किया जाता है ।
55042,क्या उसे जहर दिया गया था?
55043,प्रदर्श - 2 उसके दावे का समर्थन करता है ।
55044,प्रसादी मंडल की मृत्यु हो गयी थी ।
55045,कृष्णा के तीन पुत्र थे ।
55046,भाभी ठाकुर सूचनादात्री - परिवादी थी ।
55047,वह संदिग्ध बन गया था ।
55048,जिसने पंचायती की इप्सा की थी ।
55049,जो औपचारिक गवाह हैं ।
55050,उन्हें पक्षद्रोही घोषित कर दिया गया था ।
55051,उसका पति मूर्छित था ।
55052,उसने उसे बाहर निकाल दिया था ।
55053,नारायण बागबे की मृत्यु हो गयी थी ।
55054,यह बदतर होता जा रहा था ।
55055,वह पड़ोसी है ।
55056,बाद में उसकी कथित रूप से मृत्यु हो गयी थी ।
55057,वादी सं ० 1 की मृत्यु हो गयी थी ।
55058,वह निकट संबंधी था ।
55059,वह इसके पीछे गया था ।
55060,उसके पिता की मृत्यु हो गयी थी ।
55061,उसे दूर रखा गया था ।
55062,"अतएव, यह अपील हुई है ।"
55063,रिट याचिका खारिज की जाती है ।
55064,किसी साक्ष्य की आवश्यकता नहीं है ।
55065,वह जमानत पर है ।
55066,यह बेतुकेपन की ओर ले जाता है ।
55067,उसका हाथ टूटा हुआ था ।
55068,वह भागलपुर गया था ।
55069,पांच व्यक्ति मारे गये थे ।
55070,श्वास नली संकुचित थी ।
55071,अरूण उसका भतीजा है।
55072,"अतएव, यह अपील हुई है ।"
55073,याचिका खारिज की जाती है ।
55074,"अतएव, यह पुनरीक्षण हुआ है ।"
55075,पार्श्व काले थे ।
55076,रमजान चल रहा था।
55077,वे अपने घर लौट आये थे ।
55078,उसके होंठ सूजे हुए थे ।
55079,तब प्रार्थना की गयी थी ।
55080,पैरा 6 विरोधात्मक है ।
55081,पांच व्यक्ति मारे गये थे ।
55082,उसे कभी - कभी दौरे आते थे ।
55083,उसका व्यवहार उदासीन था ।
55084,उसने एक जांच का आदेश दिया था ।
55085,घायल मूर्छित था ।
55086,यह अपील अनुज्ञात की जाती है ।
55087,मुंह खाली था ।
55088,गर्भाशय का निरीक्षण किया गया था ।
55089,कई उदाहरण हैं ।
55090,यह इस अपेक्षा को पूरा करती है ।
55091,इसे अपास्त किया जाता है ।
55092,वे अलग रह रहे थे ।
55093,प्रदर्श 3 - प्रथम सूचना ।
55094,5 - मृत्यु समीक्षा रिपोर्ट ।
55095,ओ ० बी ० सी ० 148 91 115 109
55096,अनुसूचित जनजाति 148 44 45
55097,अनुसूचित जाति - 3 ।
55098,कटिहार 46 05 41 15
55099,बेतिया 6 03 01 103
55100,प्रदर्श 5 - औपचारिक प्राथमिकी ।
55101,22 - यह अपील अनुज्ञात की जाती है ।
55102,"तद्नुसार, इसे अभिखंडित किया जाता है ।"
55103,2 - औपचारिक प्रथम सूचना रिपोर्ट ।
55104,सूचनादाता आसपास बैठा रहा था ।
55105,8 - अपीलें खारिज की जाती हैं ।
55106,वर्तमान कार्यवाही उद्भूत होती है ।
55107,अपील एतद्द्वारा अनुज्ञात की जाती है ।
55108,ऐसी कोई कार्रवाई नहीं की गयी थी ।
55109,कार्यवाही अप्रचलित हो गयी है ।
55110,दो व्यक्ति वहां पर प्रतीक्षा कर रहे थे ।
55111,उसने सभी अभियुक्तों की शिनाख्त की थी ।
55112,उसने उसे टोपी खिलायी थी ।
55113,उसने अपनी प्रतिपरीक्षा में कथित किया था ।
55114,"तद्नुसार, अपील खारिज कर दी गयी थी ।"
55115,बायीं अलनी का अस्थिभंग ।
55116,इस प्रकार विचारण आगे बढ़ा था ।
